Crime Category	2018	2019	2020	2021
Total Complaints16122	54832	118011	115800
Financial Frauds2358	11905	27720	32604
Fake Profile	5005	7140	7774	3926
Hacking	1171	5837	11833	9672
Harassment	1112	5120	9579	7632
Defamation	713	3641	7871	10283
Blackmailing	450	2381	5099	5130
Threats	537	2027	3894	3716
Online Shopping	264	1284	2546	1729
Stalking	393	981	1679	1861
Identity Theft	114	780	1309	1334
Anti- Religion	68	641	1182	253
Anti - Army	161	495	869	65
Spoofing	109	242	523	62
Lottery Frauds	99	289	487	872
Spamming	40	226	425	382
Pornography	27	161	304	200
Illegal SIMs	15	144	170	531
Phishing	4	105	137	39
Ransomware	1	11	48	64

